id,text,label,sentiment
9536,"Cooking microwave pizzas, yummy",2,positive
6135,Any plans of allowing sub tasks to show up in the widget?,1,neutral
17697," I love the humor, I just reworded it. Like saying 'group therapy' instead`a 'gang banging'. Keeps my moms off my back.   Hahaha",2,positive
14182, naw idk what ur talkin about,1,neutral
17840, That sucks to hear. I hate days like that,0,negative
3655, Umm yeah. That`s probably a pretty good note to self because eeeeeewwwwwwww.,2,positive
719, whatever do you mean?,1,neutral
22823, That would panic me a little!  Maybe you can read on an orbitron at the gym like I do...when all else fails?!?,0,negative
4869,Is sad when people`s phones are dead,0,negative
793,  sad face.,0,negative
13970,"In cafe management, the end of the month is nothing but numbers. My arty little head hurts from finding discrepencies",0,negative
20050,"Basically I`ve listened to Miley Cyrus for fourteen hours now, and I love it.",2,positive
1399, what did you think of the finale?  I thought it was kind of a cheap way out,0,negative
2691," I think that boat sailed my friend... The few CCO`s that had them, had them months ago....  I wish you luck though...",2,positive
18593,Gave my mommy her Mother`s Day present. Tickets to Aerosmith (her favorite band everr.) Yay for a good reaction.,2,positive
8340,"Installed office for Mac & messed up all my fonts on safari, **** on a stick! help! can`t even read the solutions online  #badmicrosoft",0,negative
7922, You`re welcome...,2,positive
23219,Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,0,negative
9289,Early monday cramming... yay. Only a few weeks left,1,neutral
18568,ok its FF soooo why isn`t anyone following MEEEE??? LOL ughhhh I have some lazy a%# followers they wont even help me out,1,neutral
6684,Has Ruth today,1,neutral
14653,(bye) plurk out muna. will be back when im done reading the book  http://plurk.com/p/rq9c7,1,neutral
17944,gonna have a lazy day today,0,negative
18373,I am tired.,0,negative
2900, http://twitpic.com/3ernb - Loving The Jumper,2,positive
3359,"_NZ busy,fun mother`s day thanks  got what I wanted...a Wii Fit!!! Yay",2,positive
680,"This app is just great, it not only reminds me what I need to do, it really motivates me to do stuff. the only problem I'm facing, whenever I try to mark a task as completed, the task crashes, and then it updates and actually shown as completed, except this annoying bug, I love it.",2,positive
24372,Still at work.,1,neutral
464,_by_spork we shall see,1,neutral
2290,"Guess I`m gonna try the nap thing again 2day, but since my kids haven`t cooperated with it yet this week I`m sure 2day won`t be different",0,negative
12172,odd i tried to call mitchel musso but it dosent work....,0,negative
4287,LUCY IS HATING ON MY GWEG!,0,negative
21344,"  Ah  sameway Yet, has 2006 votes ((.We need more vote :`D",1,neutral
15895,@_missrachel how much?,1,neutral
17442,"shall bring his own glass to work from tonight, no more `half half` hor!!",1,neutral
6000,"Not as useful as Wunderlist... Yet!! Would prefer to have a tab for the ""week"". Not just day, that way I can anticipate. Also wish items would show up in my calendar.",1,neutral
9164,"() UGH, i love tila. haters need to shut up",1,neutral
9723,Wow - the dude said I was better than Bobbi Lewis.. never heard the guy - but I take that as a compliment  (just read the BL web site),2,positive
1341, oh no  say it aint so,0,negative
816,"Great planning app, reliable and easy to use.",2,positive
13752,is chilling at home,2,positive
3764,I hope that they could have an alarm after the rest session ends,1,neutral
7130,Helpful to visualize recurring events on Google calendar.,2,positive
12959,yep... i think i might have just made the decision to go head first...  we may be witnessing a historical moment... real talk,1,neutral
10890, was jst out there wednesday,1,neutral
11674, Could get  to do the honours?,1,neutral
27085, yeah... it`s gonna be a long while for me.,1,neutral
14299,"waking now, so lazy and very worry ...",0,negative
15165, hehe i will never thorw out these shoes  i`m listening to varsity fanclub surprise surprise  sway sway baby is awesome,2,positive
11661, thanks dinno  appreciate it,2,positive
55,Upgraded and lost all my tasks from previous version ... very disappointed!!!,0,negative
19067,Dam only 5 votes  not gonna win anything now,0,negative
3176,Hebrew language doesn't work...,2,positive
15875,Loving Lego Indiana Jones. A game-researching aracheologist`s dream,2,positive
19253,Download movie  'Ben 10: Alien Force' http://tinyurl.com/czb7b2 cool #movie,2,positive
16200," Years ago, my brother saw you and Bruce walking on the sidewalk in Sanibel. I used to live on Pine Is. Great place",2,positive
2826, so technically....i havent really gotten out of bed. so i think you`re right and i`m gonna stay here!,1,neutral
15259,Stu is actually SEVERLY sunburnt....it hurts!!!,0,negative
23182,homework,1,neutral
24927,My TI89 died. I don`t know why.,0,negative
2486,It's a wonderful app,2,positive
6263,"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",0,negative
14603,Not feeling very well.,0,negative
1408,Easy to use. I will however like to have a time boxing feature for my daily activities.,2,positive
172,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,0,negative
26726, *hug*,2,positive
19834,"_peek mkay :/ did you tell him on msn? bfgurelgbsr yeah, i guess so, i don`t know if i like it, i`ll wait till i get your opinion",1,neutral
10648,"too much good food on this Mother`s Day. not that i`m complaining! Seafood, durian puffs and macarons! yum!",2,positive
6268," Totally unsurprised that Dave isn`t coming back to 10. But Annalisa is wrong for it, opposite of big warm mellow Dave.",0,negative
7875,i`m hungry but can`t eat anything right now because my tongue hurts so bad.,0,negative
18809,"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!",1,neutral
759,is getting married in Vegas in November by an Elvis impersonator am so happy!!!,2,positive
2281, you dont say,1,neutral
3459,OMG - Madness Just Came On The Radio,0,negative
1899,@_Freya Good Night,2,positive
2239,"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i`m tired already",0,negative
14154, I`ma say you should smudge yourself before I start calling people given the malicious action we pulled the other night,0,negative
2215, hope u did alright on the final,2,positive
4460,"Very nice, very simple, very usefull, but the free mode is too annoyingly limited. looking forward to having the ability to link habits with my wife or friends.",1,neutral
3448, agreed,1,neutral
526,App is good but it could have better,1,neutral
7351,useless I dont want to purchase the app as this free version offers no good features.. the paid app might be better..Rating 2 just because of the feedback on user review.,0,negative
4625,My breath is weezy.  No more going to knotts when you`ve been sick all week.,0,negative
23001,Been invited to join a group in Second Life called 'Ballistic Autistics'.  Cute name.,2,positive
5830,"Some features widely requested and very useful are missing: - Task with due date should automatically appear on 'My day' - Forward email to Microsoft ToDo address and automatically add a task - Sort task by modification date, the ideia is to have on top the oldest task that I've updated - Very important feature, COMMENTS, ability to make comment on the task with timestamp - Tags, must have tags to more easily search and filter Please improved Microsoft ToDo with this features",0,negative
9854,"I wish it would sync, so I could use it on all devices",1,neutral
16811,"Gonna go round up some DVDs to sell...  I will miss them, but I need money!",0,negative
18188,Wtf was that **** 5 mins before the marked closed...FAZ you cost me 4 grand,0,negative
25334,Got a Saturdays framed signed foto last night  and a Valentino rossi 1 aswell  eee what a night,2,positive
2189,Very useful and flexible for scheduling tasks. It can be better by employing ML to guess the best choice of time for any task.,2,positive
