temperature,top_p,frequency_penalty,presence_penalty,response
1,1,0,0,"

Vicepremiér pro digitalizaci a ministr pro místní rozvoj Ivan Bartoš a Svaz průmyslu a dopravy se sešli, aby debatovali o novele zákona o veřejných zakázkách, která odstraňuje byrokratické překážky při zadávání veřejných zakázek. Poslancům byl odeslán dopis se strachem, že pozměňovací návrh může poškodit hospodářskou soutěž. Na jednání vyvstaly i obavy z možného rozporu se Směrnicí EU o veřejných zakázkách. Naštěstí byly tyto obavy rychle vyvráceny a obě strany se shodly na přípravě metodiky. Obecně chce Bartoš zlepšit efektivitu zadávání veřejných zakázek prostřednictvím sektorové spolupráce, jasných a striktních limitů a kooperace mezi státními organismy."
1,1,0,0,"

Vicepremiér pro digitalizaci Ivan Bartoš chystá pozměňovací návrh k novele o zadávání veřejných zakázek. Tento návrh má odstranit byrokratické překážky týkající se vertikální spolupráce a sdílení kapacit mezi jednotlivými orgány státu. Zástupci Svazu průmyslu a dopravy exprimovali obavy, ve kterých se dotkli možností narušení efektivní hospodářské soutěže. Místopředseda vlády se zástupci Svazu sešel a obě strany přijaly dohodu o spolupráci a vypracování metodiky, která povede nejen ke zlepšení procesů zadávání, ale i eliminace rizik."
0,1,0,0,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který má za cíl odstranit byrokratické překážky a umožnit efektivní využití kapacit uvnitř státu. Svaz průmyslu a dopravy vyjádřil obavy z možného narušení efektivní hospodářské soutěže, ale po schůzce s vicepremiérem a vyjádření Evropské komise byly tyto obavy rozptýleny. Tým vicepremiéra vysvětlil, že DIA není dodavatelem IT služeb pro státní správu a že novela má za cíl zkvalitnit proces zadávání veřejných zakázek. Svaz se bude podílet na vypracování metodiky pro realizaci novely."
0,1,0,0,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který má za cíl odstranit byrokratické překážky a umožnit efektivní využití kapacit uvnitř státu. Svaz průmyslu a dopravy vyjádřil obavy z možného narušení efektivní hospodářské soutěže, ale po schůzce s vicepremiérem a vyjádření Evropské komise byly tyto obavy rozptýleny. Tým vicepremiéra vysvětlil, že DIA není dodavatelem IT služeb pro státní správu a že novela má za cíl zkvalitnit proces zadávání veřejných zakázek. Svaz se bude podílet na vypracování metodiky pro realizaci novely."
1,1,0,0,": 
Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o veřejných zakázkách, který usnadňuje sdílení kapacit státu v oblasti IT. Kvůli obavám ze strany Svazu průmyslu a dopravy pozměňovací návrh podrobně vysvětlil a rozptýlení obav bylo potvrzeno vyjádřením Evropské komise ze dne 13. ledna 2023. Toto vyjádření také potvrdilo, že pozměňovací návrh není v rozporu s evropskou směrnicí. Svaz průmyslu a dopravy se bude podílet na vypracování metodiky a postupů pro realizaci novely, aby bylo zajištěno vysoce kvalitní zadávání veřejných zakázek."
1,1,0,0,"
Vicepremiér pro digitalizaci Ivan Bartoš chce urychlit proces zadávání veřejných zakázek tím, že odstraní byrokracii a umožní, aby si orgány veřejné správy sdílely kapacity. Návrh se setkal s obavami Svazu průmyslu a dopravy, které byly rozptýleny po schůzce s vyjádřením Evropské komise. Tým vicepremiéra přesvědčivě vysvětlil, že nový návrh nenaruší hospodářskou soutěž a má naopak vést ke zkvalitnění procesů zadávání. Obě strany se dohodly na přípravě metodiky pro realizaci novely."
1,0,0,0,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který má za cíl odstranit byrokratické překážky a umožnit efektivní využití kapacit uvnitř státu. Svaz průmyslu a dopravy vyjádřil obavy z možného narušení efektivní hospodářské soutěže, ale po schůzce s vicepremiérem a vyjádření Evropské komise byly tyto obavy rozptýleny. Tým vicepremiéra vysvětlil, že DIA není dodavatelem IT služeb pro státní správu a že novela má za cíl zkvalitnit proces zadávání veřejných zakázek. Svaz se bude podílet na vypracování metodiky pro realizaci novely."
1,0,0,0,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který má za cíl odstranit byrokratické překážky a umožnit efektivní využití kapacit uvnitř státu. Svaz průmyslu a dopravy vyjádřil obavy z možného narušení efektivní hospodářské soutěže, ale po schůzce s vicepremiérem a vyjádření Evropské komise byly tyto obavy rozptýleny. Tým vicepremiéra vysvětlil, že DIA není dodavatelem IT služeb pro státní správu a že novela má za cíl zkvalitnit proces zadávání veřejných zakázek. Svaz se bude podílet na vypracování metodiky pro realizaci novely."
0,1,1,0,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který má odstranit byrokratické překážky a umožnit efektivnější využití kapacit státu. Svaz průmyslu a dopravy vyjádřil obavy, ale po schůzce se shodl na potřebě spolupráce na metodice pro realizaci novely. Evropskému parlamentu a Radě EU bylo sděleno, že není v rozporu s evropskou směrnicí."
0,1,2,0,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který měl odstranit byrokratické překážky a umožnit efektivní vyučení stanovených limitovaných prostor. Svaz pr"
0,1,0,1,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který má odstranit byrokratické překážky a umožnit efektivní využití kapacit státu. Svaz průmyslu a dopravy vyjádřil obavy z možného narušení hospodářské soutěže a rozporu se Směrnicí EU. Na schůzce s vicepremiérem byly tyto obavy rozptýleny a obě strany se shodly na potřebě spolupráce na vypracování metodiky pro realizaci novely."
0,1,0,2,"

Vicepremiér pro digitalizaci Ivan Bartoš představil pozměňovací návrh k novele o zadávání veřejných zakázek, který má odstranit byrokratické překážky a umožnit efektivní využití kapacit státu. Svaz průmyslu a dopravy vyjádřil obavy ze zneužití této možnosti, ale po schůzce se zástupci vicepremiéra se shodli na potřebě spolupráce na metodice, která bude respektovat Směrnici EU. Evropská komise potvrdila, že navrhovaný pozměňovací návrh není v rozporu s evropskou směrnicí."
0.5,1,0.5,0.2,"

Vicepremiér pro digitalizaci Ivan Bartoš představil svůj pozměňovací návrh k novele zákona o veřejných zakázkách, který umožní vertikální spolupráci mezi orgány státu v oblasti IT. Jeho návrh vzbudil obavy ve Svazu průmyslu a dopravy, které adresoval poslancům prostřednictvím dopisu. Bartoš se sešel se zástupci Svazu a svou myšlenku detailně představil. Zvláštní důraz byl kladen na rozptýlení obav z použití nově založené Digitální a informačné agentury (DIA) a možného rozporu se Směrnicí EU o zadávání veřejných zakázek. Tato obava byla rozptýlena vyjádřením Evropské komise ze dne 13. ledna 2023. Z jednání s vicepremiérem vyplynulo, že DIA má zavést jednotné postupy a standardy pro přípravu a realizaci projektů, ale není dodavatelem IT služeb pro státní správu."
