id,text,label,sentiment,predicted_label,correct
317,Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,0,negative,1,False
24292, ooohhh imma need you to get on that asap love you,2,positive,2,True
3513," Thanks! I love it they have a video, so you don`t need to download if they don`t offer everything you want  Will try!",2,positive,2,True
4322,I left my ipod in the car so now its all warm.,2,positive,1,False
6203,Great app. Only complaint is that I'd like the AMOLED dark mode in the app to match the widget.,2,positive,2,True
17089,Sooo readyyy for the summerr babyyyy!!!!!!!!!,2,positive,2,True
4152, me too  Thats why im driving down to Cali in July for HIN Pleasanton.,1,neutral,1,True
21879," I`m in an 8 now too, but b4 I had kids I was a 6.5! Darn babies making my feet grow",1,neutral,1,True
24190, yeah I was like oh oh oh yeah that`s it but then she said no  lol bummer,1,neutral,0,False
13064,"ya know why today sucks? its been raining, we have no $, & no possibility of a magic friday.  so whats goin down tonight?",0,negative,0,True
15466,Sitting in traffic while my car gets rained on. Just washed it on Sunday. Doesn`t the weather know this is California?,0,negative,0,True
9715,"there are ads even though there wasnt any label of ""contains ads"" in this app description",1,neutral,0,False
4917,"Fam this app is fire, no cost ease of use and fun to track progress!!!",2,positive,2,True
9420,I just saw a load of ambulances & police cars & a car smashed up with a roof lying in the road.  :'(  that`s 1 man dead 4 sure.    .,0,negative,0,True
7223,is going to shul,1,neutral,1,True
14617, hahahahahahahahahahahahaha  that could be interesting,2,positive,2,True
8818,"if you don't stop to force ads clip watching, bye bye.",0,negative,0,True
12322,so bored...,0,negative,0,True
8201,"what the hell am i doing awake this early,",0,negative,0,True
5037,App crashing a lot. Do look into it and solve the problem asap.,1,neutral,0,False
1762,"Are you kidding me. I down load a ""Planner/Callander app. I go set it all up and link it and try to see the month so I know it's all right my It says I have to upgrade and pay for a month calender View. Ok... Annoying but I try 1 week. Same thing. Gotta pay. Calandar app with only 2 views for oveall use. Please don't say it's a free app or at least explain, can see all these cool features, I'll even let you go through and set up but you have to pay for all the feature",0,negative,0,True
14354, Haha! At the Somerset theatre in Ottawa. I remember that well. The more things change the more they stay the same,2,positive,2,True
11708,off to the family party,1,neutral,1,True
1410,Actual wiki entry 'The Million Dollar Homepage' made me just shake my head due to the fact that ... sometimes...somtimes things just work,0,negative,1,False
19892,I got 5 in English lesson  now drinking sprite,1,neutral,2,False
1503,where r all the 5am tweets from  people...oh that`s right...they opened the #houseofrock last night so they`re still in bed,1,neutral,1,True
16954, I totally did go! and he was AMAZING. He`s is the reason I bought the tix. He only did 3 songs. But Blood Bank was 1.,2,positive,2,True
4332,"I like that it allows specific habits, I don't like that it does not give proper percentages of how much you've done your habits. after using it about a month i deleted it, because even though i was doing almost every habit 100%, it kept giving me <50%. it was demoralizing.",0,negative,1,False
24928,unemployment line here i come.,0,negative,0,True
27035,watching saturday night live; justin timberlake hosts,1,neutral,2,False
22714,_Doll Yes! I live in Milwaukee and would love to attend a closing talk,2,positive,2,True
22512,The Barry Gibb Talk show!!!!!,1,neutral,1,True
12618, Im soooo intrigued! I want to try this weekend. Kaya lang baka maaddict ako.,2,positive,2,True
14277,"i know i have lots of comments to return but i have been really busy  i`ll get round to it guys, sorry",0,negative,1,False
5504, Hey I saw SNL 2nite&I loved it!! especially the crumpin` ****-**** scene  'crumpin`34 dub' wow hilarious,2,positive,2,True
2305,"Its so sunny outside, and I have no one to go out and play with",1,neutral,1,True
528,The reminders aren't partixularly noticeable.,1,neutral,1,True
3402,"So it was good until yesterday .. Whenever I tap on the store it keeps refreshing and never opens, I can't unlock any tree or even check them out. I sent a picture . Thank you for the quick response.",0,negative,0,True
22069,"LaLaLand... why am i liking that song so much?! Anyhoo.... grr I have a cold, but thank goodness though the sore throat has gone!!",2,positive,2,True
24007,says np- Because of You -- Ne-Yo  (music) http://plurk.com/p/svm3r,1,neutral,1,True
27205,Left Cali this morning...in Dallas now..missing my car SO MUCH!!!,0,negative,0,True
1153,گزینه آندو ش میپره,0,negative,1,False
118,No help to be had. No tutorials available. After 3 days I could not even find out how to delete notes. Perhaps I am just stupid. Perhaps it doesn't work with my phone. Uninstalled and we'll try something else to work with my Google assistant.,0,negative,0,True
19658,Happy Star Wars Day! May the Fourth be with you.,2,positive,2,True
5042,hates the sound of silence..doesnt like being shut out..,0,negative,0,True
23329," Enjoy your day too! Prob see u up top of Glyders. No pint for me, gotta drive straight back as we`ve got Dog stuff to do Sunday",2,positive,1,False
9259,"Offers much more flexibility and I'm enjoying the new updates. The one thing I would like (for 5 star rating) is the ability to strike-through appointments that are cancelled, which was possible in the Palm Pilot and similar to the ""completed"" tasks that once you have ticked them off it will strike-through the item.",2,positive,2,True
20467,my iMac`s died  keeps cutting out for no reason. Anyone recommend a good mac place for service / parts? Think I need a new power supply,0,negative,0,True
